Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
7Zip format,.7z,01. Agrégat,Conserver mais extraire le contenu,Complet,0
Apple Safari Webarchive,.webarchive,01. Agrégat,À réviser,Base,9
Archiver Format,.ar,01. Agrégat,À réviser,Base,228
ARJ File Format,.arj,01. Agrégat,À réviser,Base,2
BZIP2 Compressed Archive,.bz2,01. Agrégat,Conserver mais extraire le contenu,Complet,0
CPIO,.cpio,01. Agrégat,À réviser,Base,1
OLE2 Compound Document Format,".ole, .ole2",01. Agrégat,Original,Base,293
PDF Portfolio,.pdf,01. Agrégat,Conserver mais extraire le contenu si possible,Veille,1
RAR Archive,.rar,01. Agrégat,Conserver mais extraire le contenu,Veille,1
Tape Archive Format,.tar,01. Agrégat,Conserver mais extraire le contenu,Complet,16
XZ File Format,.xz,01. Agrégat,Conserver mais extraire le contenu,Complet,5
ZIP Format,.zip,01. Agrégat,Conserver mais extraire le contenu,Complet,558
