Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
Adobe Photoshop,.psd,07. Image (Raster),Transform to TIFF,Full,955
Alias Pix Image File,".pix, .ico",07. Image (Raster),To be reviewed,Basic,66
Animated Portable Network Graphics,.apng,07. Image (Raster),To be reviewed,Basic,64
Apple Icon Image Format,.icns,07. Image (Raster),Original,Basic,1
BigTIFF,".tiff, .tif",07. Image (Raster),Original,Full,46
DjVu File Format,".djv, .djvu",07. Image (Raster),To be reviewed,Watch,3
Exchangeable Image File Format (Compressed),".jpeg, .jpg",07. Image (Raster),Transform to TIFF,Full,"314,755"
Exchangeable Image File Format (Uncompressed),".tif, .tiff",07. Image (Raster),Transform to TIFF,Full,"8,489"
Flexible Image Transport System,.fits,07. Image (Raster),Transform to TIFF,Watch,7
Fujifilm RAW Image Format,.raf,07. Image (Raster),Transform to TIFF,Watch,2
Geographic Tagged Image File Format (GeoTIFF),".tif, .tiff, .cog",07. Image (Raster),Original,Full,"3,671,818"
Graphics Interchange Format,.gif,07. Image (Raster),Transform to TIFF,Full,"39,149"
Hasselblad 3FR Raw Image,.3fr,07. Image (Raster),Transform to TIFF,Full,"2,895"
Icon file format,.ico,07. Image (Raster),Transfrom to SVG or PNG,Watch,17
JPEG File Interchange Format,".jpeg, .jpg, .jif, .jpe, .jfif, .jfi",07. Image (Raster),Transform to TIFF,Full,"3,639,396"
JPX (JPEG 2000 part 2),".jpx, .jpf",07. Image (Raster),Transform to TIFF,Full,2
Nikon Digital SLR Camera Raw Image File,.nef,07. Image (Raster),Transform to TIFF,Full,"2,218"
Portable Network Graphics,.png,07. Image (Raster),Transform to TIFF,Full,"1,103,444"
Raw Bitmap,.raw,07. Image (Raster),Transform to TIFF,Full,463
Raw JPEG Stream,".jpeg, .jpg, .jif, .jpe, .jfif, .jfi",07. Image (Raster),Transform to TIFF,Full,763
Tagged Image File Format,".tiff, .tif",07. Image (Raster),Original,Full,"176,712"
Windows Bitmap,.bmp,07. Image (Raster),Transform to TIFF,Full,"831,198"
X-Windows Bitmap Image,.xbm,07. Image (Raster),To be reviewed,Watch,6
X-Windows Pixmap Image,.xpm,07. Image (Raster),To be reviewed,Watch,13
